pais,fecha,tipo,cantidad
AR,1987,ipv4,2
AR,1990,asn,1
AR,1990,ipv4,1
AR,1991,ipv4,1
AR,1992,ipv4,1
AR,1993,ipv4,8
AR,1994,asn,3
AR,1994,ipv4,35
AR,1995,asn,8
AR,1995,ipv4,34
AR,1996,asn,4
AR,1996,ipv4,5
AR,1997,asn,20
AR,1997,ipv4,3
AR,1998,asn,26
AR,1998,ipv4,6
AR,1999,asn,16
AR,1999,ipv4,4
AR,2000,asn,27
AR,2000,ipv4,18
AR,2001,asn,24
AR,2001,ipv4,29
AR,2002,asn,6
AR,2002,ipv4,6
AR,2003,asn,6
AR,2003,ipv4,25
AR,2003,ipv6,1
AR,2004,asn,12
AR,2004,ipv4,35
AR,2005,asn,7
AR,2005,ipv4,27
AR,2005,ipv6,4
AR,2006,asn,13
AR,2006,ipv4,43
AR,2006,ipv6,2
AR,2007,asn,13
AR,2007,ipv4,38
AR,2007,ipv6,5
AR,2008,asn,30
AR,2008,ipv4,64
AR,2008,ipv6,3
AR,2009,asn,19
AR,2009,ipv4,53
AR,2009,ipv6,4
AR,2010,asn,31
AR,2010,ipv4,87
AR,2010,ipv6,11
AR,2011,asn,38
AR,2011,ipv4,102
AR,2011,ipv6,41
AR,2012,asn,55
AR,2012,ipv4,87
AR,2012,ipv6,77
AR,2013,asn,38
AR,2013,ipv4,119
AR,2013,ipv6,76
AR,2014,asn,58
AR,2014,ipv4,113
AR,2014,ipv6,73
AR,2015,asn,86
AR,2015,ipv4,135
AR,2015,ipv6,90
AR,2016,asn,93
AR,2016,ipv4,158
AR,2016,ipv6,84
AR,2017,asn,171
AR,2017,ipv4,186
AR,2017,ipv6,171
AR,2018,asn,116
AR,2018,ipv4,127
AR,2018,ipv6,125
AR,2019,asn,131
AR,2019,ipv4,152
AR,2019,ipv6,148
AR,2020,asn,88
AR,2020,ipv4,101
AR,2020,ipv6,95
AR,2021,asn,38
AR,2021,ipv4,17
AR,2021,ipv6,32
AR,2022,asn,53
AR,2022,ipv4,22
AR,2022,ipv6,43
AU,2012,asn,1
AW,1998,asn,1
AW,2005,ipv4,1
AW,2007,ipv4,1
AW,2010,asn,1
AW,2010,ipv4,4
AW,2011,ipv4,3
AW,2011,ipv6,1
AW,2012,ipv4,1
AW,2013,ipv4,1
AW,2015,asn,1
AW,2015,ipv4,1
AW,2015,ipv6,1
AW,2022,asn,1
AW,2022,ipv4,1
AW,2022,ipv6,1
BO,1992,ipv4,1
BO,1993,ipv4,5
BO,1996,asn,1
BO,1998,asn,1
BO,1999,asn,1
BO,2001,asn,1
BO,2001,ipv4,1
BO,2002,asn,2
BO,2002,ipv4,5
BO,2003,asn,1
BO,2003,ipv4,2
BO,2004,ipv4,5
BO,2005,ipv4,2
BO,2005,ipv6,1
BO,2006,asn,2
BO,2006,ipv4,5
BO,2006,ipv6,1
BO,2007,asn,1
BO,2007,ipv4,4
BO,2008,asn,1
BO,2008,ipv4,7
BO,2009,ipv4,3
BO,2009,ipv6,2
BO,2010,asn,1
BO,2010,ipv4,9
BO,2011,asn,5
BO,2011,ipv4,3
BO,2011,ipv6,1
BO,2012,ipv4,9
BO,2012,ipv6,5
BO,2013,asn,1
BO,2013,ipv4,9
BO,2013,ipv6,3
BO,2014,asn,6
BO,2014,ipv4,14
BO,2014,ipv6,6
BO,2015,asn,1
BO,2015,ipv4,4
BO,2015,ipv6,1
BO,2016,asn,3
BO,2016,ipv4,6
BO,2016,ipv6,4
BO,2017,asn,9
BO,2017,ipv4,9
BO,2017,ipv6,10
BO,2018,asn,4
BO,2018,ipv4,6
BO,2018,ipv6,4
BO,2019,asn,4
BO,2019,ipv4,1
BO,2019,ipv6,1
BO,2020,asn,6
BO,2020,ipv4,7
BO,2020,ipv6,6
BO,2021,asn,3
BO,2021,ipv6,2
BO,2022,asn,4
BO,2022,ipv6,4
BQ,2003,asn,1
BQ,2004,asn,1
BQ,2005,ipv4,1
BQ,2006,ipv4,2
BQ,2009,asn,1
BQ,2009,ipv4,1
BQ,2010,ipv4,1
BQ,2011,asn,1
BQ,2011,ipv4,1
BQ,2011,ipv6,1
BQ,2012,asn,1
BQ,2012,ipv4,2
BQ,2012,ipv6,3
BQ,2014,ipv4,1
BQ,2015,ipv4,2
BQ,2015,ipv6,1
BR,1990,ipv4,6
BR,1991,ipv4,13
BR,1992,ipv4,8
BR,1993,ipv4,17
BR,1994,ipv4,5
BR,1999,asn,46
BR,1999,ipv4,96
BR,2000,asn,36
BR,2000,ipv4,145
BR,2001,asn,34
BR,2001,ipv4,76
BR,2002,asn,20
BR,2002,ipv4,65
BR,2003,asn,12
BR,2003,ipv4,64
BR,2004,asn,11
BR,2004,ipv4,45
BR,2005,asn,22
BR,2005,ipv4,84
BR,2006,asn,36
BR,2006,ipv4,115
BR,2007,asn,72
BR,2007,ipv4,150
BR,2007,ipv6,13
BR,2008,asn,85
BR,2008,ipv4,192
BR,2008,ipv6,16
BR,2009,asn,132
BR,2009,ipv4,259
BR,2009,ipv6,51
BR,2010,asn,245
BR,2010,ipv4,428
BR,2010,ipv6,150
BR,2011,asn,376
BR,2011,ipv4,595
BR,2011,ipv6,296
BR,2012,asn,391
BR,2012,ipv4,721
BR,2012,ipv6,285
BR,2013,asn,427
BR,2013,ipv4,769
BR,2013,ipv6,417
BR,2014,asn,683
BR,2014,ipv4,1166
BR,2014,ipv6,825
BR,2015,asn,614
BR,2015,ipv4,1079
BR,2015,ipv6,715
BR,2016,asn,648
BR,2016,ipv4,1211
BR,2016,ipv6,713
BR,2017,asn,967
BR,2017,ipv4,1178
BR,2017,ipv6,1032
BR,2018,asn,954
BR,2018,ipv4,999
BR,2018,ipv6,999
BR,2019,asn,1033
BR,2019,ipv4,1082
BR,2019,ipv6,1059
BR,2020,asn,1337
BR,2020,ipv4,1090
BR,2020,ipv6,1361
BR,2021,asn,488
BR,2021,ipv4,277
BR,2021,ipv6,497
BR,2022,asn,282
BR,2022,ipv4,85
BR,2022,ipv6,288
BZ,1994,ipv4,1
BZ,1997,asn,1
BZ,2000,asn,1
BZ,2004,ipv4,1
BZ,2006,ipv4,1
BZ,2007,ipv4,1
BZ,2009,asn,2
BZ,2009,ipv4,1
BZ,2009,ipv6,1
BZ,2010,ipv4,5
BZ,2012,asn,2
BZ,2012,ipv4,5
BZ,2012,ipv6,4
BZ,2013,asn,3
BZ,2013,ipv4,6
BZ,2013,ipv6,5
BZ,2014,ipv4,3
BZ,2014,ipv6,3
BZ,2015,asn,2
BZ,2015,ipv4,7
BZ,2015,ipv6,4
BZ,2016,asn,4
BZ,2016,ipv4,6
BZ,2016,ipv6,2
BZ,2017,asn,4
BZ,2017,ipv4,6
BZ,2017,ipv6,4
BZ,2018,asn,4
BZ,2018,ipv4,2
BZ,2018,ipv6,3
BZ,2019,asn,1
BZ,2019,ipv4,1
BZ,2019,ipv6,1
BZ,2021,ipv4,1
BZ,2021,ipv6,1
CL,1987,asn,1
CL,1990,ipv4,1
CL,1991,asn,1
CL,1991,ipv4,5
CL,1992,ipv4,15
CL,1993,ipv4,66
CL,1994,ipv4,64
CL,1995,asn,1
CL,1995,ipv4,48
CL,1996,asn,2
CL,1997,asn,2
CL,1998,asn,1
CL,1999,asn,6
CL,1999,ipv4,1
CL,2000,asn,26
CL,2000,ipv4,11
CL,2001,asn,17
CL,2001,ipv4,15
CL,2002,asn,10
CL,2002,ipv4,19
CL,2003,asn,6
CL,2003,ipv4,25
CL,2003,ipv6,1
CL,2004,asn,4
CL,2004,ipv4,23
CL,2005,asn,3
CL,2005,ipv4,24
CL,2005,ipv6,2
CL,2006,asn,4
CL,2006,ipv4,22
CL,2007,asn,15
CL,2007,ipv4,23
CL,2007,ipv6,4
CL,2008,asn,8
CL,2008,ipv4,21
CL,2008,ipv6,3
CL,2009,asn,11
CL,2009,ipv4,18
CL,2009,ipv6,3
CL,2010,asn,15
CL,2010,ipv4,37
CL,2010,ipv6,8
CL,2011,asn,8
CL,2011,ipv4,32
CL,2011,ipv6,9
CL,2012,asn,11
CL,2012,ipv4,25
CL,2012,ipv6,15
CL,2013,asn,12
CL,2013,ipv4,26
CL,2013,ipv6,12
CL,2014,asn,15
CL,2014,ipv4,41
CL,2014,ipv6,22
CL,2015,asn,17
CL,2015,ipv4,30
CL,2015,ipv6,19
CL,2016,asn,22
CL,2016,ipv4,37
CL,2016,ipv6,17
CL,2017,asn,28
CL,2017,ipv4,40
CL,2017,ipv6,34
CL,2018,asn,51
CL,2018,ipv4,57
CL,2018,ipv6,55
CL,2019,asn,24
CL,2019,ipv4,28
CL,2019,ipv6,26
CL,2020,asn,35
CL,2020,ipv4,30
CL,2020,ipv6,31
CL,2021,asn,25
CL,2021,ipv4,12
CL,2021,ipv6,17
CL,2022,asn,6
CL,2022,ipv4,1
CL,2022,ipv6,7
CO,1987,ipv4,1
CO,1992,ipv4,2
CO,1993,ipv4,4
CO,1994,asn,2
CO,1994,ipv4,3
CO,1995,asn,1
CO,1995,ipv4,20
CO,1996,asn,7
CO,1996,ipv4,2
CO,1997,asn,9
CO,1998,asn,2
CO,1999,asn,4
CO,2000,asn,7
CO,2000,ipv4,3
CO,2001,asn,9
CO,2001,ipv4,11
CO,2002,asn,3
CO,2002,ipv4,10
CO,2003,asn,4
CO,2003,ipv4,12
CO,2004,asn,6
CO,2004,ipv4,11
CO,2005,asn,3
CO,2005,ipv4,24
CO,2006,asn,10
CO,2006,ipv4,38
CO,2007,asn,4
CO,2007,ipv4,37
CO,2007,ipv6,3
CO,2008,asn,5
CO,2008,ipv4,23
CO,2008,ipv6,2
CO,2009,asn,4
CO,2009,ipv4,19
CO,2009,ipv6,2
CO,2010,asn,5
CO,2010,ipv4,17
CO,2010,ipv6,4
CO,2011,asn,6
CO,2011,ipv4,34
CO,2011,ipv6,18
CO,2012,asn,9
CO,2012,ipv4,25
CO,2012,ipv6,19
CO,2013,asn,9
CO,2013,ipv4,35
CO,2013,ipv6,21
CO,2014,asn,13
CO,2014,ipv4,42
CO,2014,ipv6,21
CO,2015,asn,15
CO,2015,ipv4,30
CO,2015,ipv6,20
CO,2016,asn,16
CO,2016,ipv4,29
CO,2016,ipv6,22
CO,2017,asn,10
CO,2017,ipv4,28
CO,2017,ipv6,28
CO,2018,asn,21
CO,2018,ipv4,27
CO,2018,ipv6,40
CO,2019,asn,43
CO,2019,ipv4,52
CO,2019,ipv6,82
CO,2020,asn,54
CO,2020,ipv4,38
CO,2020,ipv6,101
CO,2021,asn,30
CO,2021,ipv4,11
CO,2021,ipv6,58
CO,2022,asn,49
CO,2022,ipv4,10
CO,2022,ipv6,63
CR,1990,ipv4,2
CR,1992,ipv4,2
CR,1993,asn,1
CR,1993,ipv4,2
CR,1994,asn,1
CR,1994,ipv4,5
CR,1998,ipv4,2
CR,1999,asn,1
CR,2000,asn,4
CR,2000,ipv4,1
CR,2002,ipv4,1
CR,2004,ipv4,4
CR,2005,ipv4,2
CR,2005,ipv6,1
CR,2006,ipv4,3
CR,2007,asn,2
CR,2007,ipv4,5
CR,2007,ipv6,1
CR,2008,asn,1
CR,2008,ipv4,7
CR,2008,ipv6,1
CR,2009,asn,3
CR,2009,ipv4,10
CR,2009,ipv6,1
CR,2010,asn,4
CR,2010,ipv4,6
CR,2010,ipv6,1
CR,2011,asn,7
CR,2011,ipv4,17
CR,2011,ipv6,6
CR,2012,asn,11
CR,2012,ipv4,16
CR,2012,ipv6,16
CR,2013,asn,5
CR,2013,ipv4,12
CR,2013,ipv6,8
CR,2014,asn,12
CR,2014,ipv4,16
CR,2014,ipv6,11
CR,2015,asn,11
CR,2015,ipv4,15
CR,2015,ipv6,9
CR,2016,asn,4
CR,2016,ipv4,14
CR,2016,ipv6,9
CR,2017,asn,5
CR,2017,ipv4,15
CR,2017,ipv6,9
CR,2018,asn,14
CR,2018,ipv4,12
CR,2018,ipv6,15
CR,2019,asn,5
CR,2019,ipv4,4
CR,2019,ipv6,4
CR,2020,asn,3
CR,2020,ipv4,4
CR,2020,ipv6,3
CR,2021,asn,8
CR,2021,ipv4,1
CR,2021,ipv6,6
CR,2022,asn,5
CR,2022,ipv4,3
CR,2022,ipv6,4
CU,1994,ipv4,2
CU,1995,ipv4,3
CU,1997,asn,1
CU,1999,asn,1
CU,2000,asn,1
CU,2002,ipv4,1
CU,2003,ipv4,1
CU,2004,asn,1
CU,2004,ipv4,2
CU,2005,ipv4,3
CU,2005,ipv6,3
CU,2006,asn,2
CU,2006,ipv4,2
CU,2007,ipv4,1
CU,2008,ipv4,1
CU,2008,ipv6,1
CU,2009,ipv6,1
CU,2010,ipv4,1
CU,2011,ipv4,1
CU,2011,ipv6,1
CU,2012,ipv4,1
CU,2013,ipv4,1
CU,2014,ipv4,1
CU,2016,asn,1
CW,1994,ipv4,1
CW,1995,asn,1
CW,1998,asn,1
CW,1999,asn,3
CW,2000,ipv4,1
CW,2002,asn,3
CW,2003,asn,2
CW,2004,asn,2
CW,2004,ipv4,2
CW,2005,asn,1
CW,2005,ipv4,2
CW,2006,ipv4,5
CW,2007,ipv4,1
CW,2008,asn,2
CW,2008,ipv4,1
CW,2008,ipv6,2
CW,2009,ipv4,3
CW,2010,asn,3
CW,2010,ipv4,3
CW,2010,ipv6,1
CW,2011,asn,5
CW,2011,ipv4,8
CW,2011,ipv6,2
CW,2012,asn,2
CW,2012,ipv4,3
CW,2012,ipv6,5
CW,2013,asn,1
CW,2013,ipv4,1
CW,2013,ipv6,1
CW,2014,asn,3
CW,2014,ipv4,5
CW,2014,ipv6,2
CW,2015,ipv4,2
CW,2015,ipv6,1
CW,2017,asn,1
CW,2017,ipv4,2
CW,2017,ipv6,1
CW,2018,asn,1
CW,2018,ipv4,1
CW,2018,ipv6,1
DO,1994,ipv4,7
DO,1995,ipv4,3
DO,1996,asn,1
DO,1999,asn,1
DO,2001,ipv4,3
DO,2002,ipv4,2
DO,2003,ipv4,2
DO,2003,ipv6,1
DO,2004,ipv4,3
DO,2005,ipv4,3
DO,2005,ipv6,2
DO,2006,asn,2
DO,2006,ipv4,6
DO,2007,asn,2
DO,2007,ipv4,7
DO,2008,ipv4,6
DO,2009,asn,2
DO,2009,ipv4,3
DO,2010,asn,3
DO,2010,ipv4,4
DO,2010,ipv6,1
DO,2011,asn,1
DO,2011,ipv4,7
DO,2011,ipv6,1
DO,2012,asn,3
DO,2012,ipv4,3
DO,2012,ipv6,2
DO,2013,asn,1
DO,2013,ipv4,8
DO,2013,ipv6,2
DO,2014,asn,5
DO,2014,ipv4,13
DO,2014,ipv6,6
DO,2015,asn,4
DO,2015,ipv4,8
DO,2015,ipv6,8
DO,2016,asn,4
DO,2016,ipv4,11
DO,2016,ipv6,3
DO,2017,asn,3
DO,2017,ipv4,8
DO,2017,ipv6,5
DO,2018,asn,7
DO,2018,ipv4,9
DO,2018,ipv6,9
DO,2019,asn,8
DO,2019,ipv4,9
DO,2019,ipv6,12
DO,2020,asn,16
DO,2020,ipv4,12
DO,2020,ipv6,13
DO,2021,asn,26
DO,2021,ipv4,5
DO,2021,ipv6,25
DO,2022,asn,34
DO,2022,ipv4,1
DO,2022,ipv6,31
EC,1987,ipv4,1
EC,1991,ipv4,1
EC,1992,ipv4,29
EC,1993,asn,1
EC,1993,ipv4,60
EC,1994,ipv4,3
EC,1995,ipv4,3
EC,1999,asn,2
EC,2000,asn,2
EC,2000,ipv4,1
EC,2001,asn,2
EC,2002,asn,4
EC,2002,ipv4,1
EC,2003,asn,1
EC,2003,ipv4,5
EC,2004,asn,2
EC,2004,ipv4,16
EC,2005,asn,3
EC,2005,ipv4,10
EC,2006,asn,5
EC,2006,ipv4,11
EC,2006,ipv6,1
EC,2007,asn,3
EC,2007,ipv4,16
EC,2007,ipv6,1
EC,2008,asn,8
EC,2008,ipv4,19
EC,2008,ipv6,2
EC,2009,asn,3
EC,2009,ipv4,19
EC,2009,ipv6,5
EC,2010,asn,3
EC,2010,ipv4,12
EC,2010,ipv6,4
EC,2011,asn,6
EC,2011,ipv4,16
EC,2011,ipv6,5
EC,2012,asn,4
EC,2012,ipv4,8
EC,2012,ipv6,13
EC,2013,asn,6
EC,2013,ipv4,15
EC,2013,ipv6,8
EC,2014,asn,4
EC,2014,ipv4,11
EC,2014,ipv6,3
EC,2015,asn,3
EC,2015,ipv4,5
EC,2015,ipv6,3
EC,2016,asn,12
EC,2016,ipv4,9
EC,2016,ipv6,8
EC,2017,asn,21
EC,2017,ipv4,49
EC,2017,ipv6,49
EC,2018,asn,16
EC,2018,ipv4,19
EC,2018,ipv6,19
EC,2019,asn,27
EC,2019,ipv4,32
EC,2019,ipv6,31
EC,2020,asn,24
EC,2020,ipv4,23
EC,2020,ipv6,22
EC,2021,asn,18
EC,2021,ipv4,4
EC,2021,ipv6,16
EC,2022,asn,23
EC,2022,ipv4,9
EC,2022,ipv6,28
GF,2004,asn,1
GF,2006,asn,1
GF,2006,ipv4,1
GF,2011,asn,1
GF,2012,ipv4,1
GF,2012,ipv6,1
GF,2013,asn,1
GF,2013,ipv6,1
GF,2014,ipv4,1
GF,2014,ipv6,1
GF,2016,asn,1
GF,2016,ipv4,1
GF,2016,ipv6,1
GF,2017,asn,1
GF,2017,ipv4,1
GF,2017,ipv6,1
GF,2018,ipv4,1
GF,2018,ipv6,1
GF,2022,asn,1
GT,1992,ipv4,2
GT,1993,ipv4,1
GT,1994,ipv4,2
GT,1995,asn,1
GT,1995,ipv4,2
GT,1996,asn,2
GT,1997,asn,1
GT,1999,asn,1
GT,1999,ipv4,1
GT,2000,asn,1
GT,2001,asn,2
GT,2001,ipv4,2
GT,2002,asn,2
GT,2002,ipv4,1
GT,2004,asn,2
GT,2004,ipv4,11
GT,2005,asn,1
GT,2005,ipv4,2
GT,2005,ipv6,1
GT,2006,asn,1
GT,2006,ipv4,8
GT,2006,ipv6,1
GT,2007,asn,3
GT,2007,ipv4,2
GT,2007,ipv6,1
GT,2008,ipv4,9
GT,2009,asn,4
