anio,AR,BB,BO,BQ,BR,BZ,CL,CO,CR,CU,CW,DM,DO,EC,GF,GP,GT,GY,HN,HT,JM,KY,LC,MQ,MX,NI,PA,PE,PR,PY,SR,SV,TT,UY,VC,VE,VI
2021-05-01,19.489487012987,0.0,103.641571428571,0,22.1598888888889,0.0,14.056533966034,172.285535714286,4.517,187.484785714286,0.0,0,117.363194871795,136.584619047619,0.0,0.0,72.4220357142857,0,101.153489010989,0,0,0.0,181.860214285714,0.0,166.959765306122,0.0,166.4255,76.4541758241759,142.816928571429,2.14782142857143,0.0,0,162.46825,10.0234285714286,0,103.823607142857,71.5648571428571
2021-06-01,20.7664718830552,162.339738095238,67.4883741496599,0,28.3662151335662,143.967452380953,15.2266822222222,156.543952811894,4.85107142857143,159.995923076923,158.858428571429,0,123.524922077922,141.548467857143,112.638714285714,177.99175,95.6680666666668,0,109.42370054945,0,0,59.5380714285714,181.2598375,204.319642857143,136.521017573696,92.2832142857143,125.940292857143,98.4945746555032,143.818210714285,10.1390714285714,118.276928571429,0,171.52375,11.1358918367347,0,123.773208818342,67.6438571428571
2021-07-01,26.3252821316615,114.86380952381,84.7309000000001,0,23.9478094048238,134.474523809524,13.9406885714286,165.941756015227,10.9211904761905,115.9155,182.944285714286,0,118.668486408328,109.701067857143,110.982214285714,174.90225,63.3038249084249,0,104.9735,0,0,59.5768571428571,164.800700892857,177.265214285714,146.365351264344,114.191571428571,99.7820408163265,84.6767594601051,128.032530612245,8.92021130952382,118.2215,0,151.481178571429,9.86912548262548,0,121.224928571429,124.686714285714
2021-08-01,22.0301844293273,157.764738095238,82.6189865134865,0,26.9373147352647,163.350122710623,14.213178008658,166.488946031746,12.5063095238095,156.906928571429,163.196928571429,0,142.321969924812,150.442510714286,109.286285714286,187.187785714285,82.2349380952381,0,105.70375,0,0,60.0272142857143,180.168178571429,185.457428571429,145.544034887876,92.7257857142857,105.165979591837,87.7071850215002,144.644392857142,2.08394917582418,117.991285714286,0,177.939571428571,9.66806891679748,0,104.393793650794,67.6415714285714
2021-09-01,21.9652697044335,168.955428571429,73.9374971611722,0,31.4956020103927,157.475928571429,14.3576720779221,155.349975396825,52.8870535714285,143.498,161.158357142857,0,129.888032692308,153.08187275882,109.979571428571,173.5275,68.5318380952381,0,99.8432499999998,0,0,72.1746428571429,165.587928571428,165.595785714286,152.129094072594,92.5615,76.8353714285712,92.4670926899188,142.171034340659,19.4875089285714,118.420071428571,0,166.116392857143,15.1255737327189,0,97.3362984126984,67.5437142857143
2021-10-01,28.4551938461538,157.686214285714,76.4188361781077,0,29.603101076343,165.060995238095,19.1786660482375,158.09623235588,51.7622857142858,163.269928571429,161.174714285714,0,148.356535714286,132.567828005328,159.883214285714,188.244892857143,135.624521245421,0,145.127785714286,0,0,127.622357142857,174.054714285715,182.718214285714,112.288761904762,92.01,67.3908428571429,101.677048351648,129.057517857143,4.61337293956044,211.777857142857,0,160.128785714285,25.8365557603687,0,132.703590909091,129.676071428571
2021-11-01,27.5469231356878,157.707357142857,89.7548483809524,0,31.1597006128792,102.675997142857,16.2882801826552,153.118075163399,67.7731587301586,154.492857142857,204.017107142857,0,155.628794322345,142.898425,164.239923076923,188.807678571428,124.497079304029,0,166.974428571428,0,0,142.837285714286,179.497714285714,202.127142857143,91.396319047619,93.2212857142857,108.175017857143,100.481921031746,140.713178571429,3.69377678571428,0.0,0,155.901642857143,30.2412168367347,0,108.856777777778,127.054642857143
2021-12-01,32.2172576843447,157.987285714286,87.8926768184197,0,31.2688519747969,115.026766666667,15.7140092890677,148.800766666667,82.611925595238,145.583714285714,184.365642857143,0,146.660025974026,140.358033333333,129.964769230769,174.9635,111.881852040816,0,139.989464285714,0,0,147.793142857143,179.350428571429,195.206285714286,113.859589307518,95.4239285714286,108.136733766234,108.444155067155,127.615517857143,3.80427777777778,0.0,0,164.605357142857,30.6097171734516,0,106.597178571429,130.011928571429
2022-01-01,28.8768507814739,156.990357142857,76.217383640553,0,31.3261991126689,125.427557142857,15.3916326849989,142.306120879121,9.75692142857143,154.584428571429,185.519178571429,0,151.374921957672,142.380747619048,154.024214285714,176.055385714285,108.664720315399,0,151.264214285715,0,0,149.001928571429,163.5335,167.283595238095,120.501617483211,0.0,104.487616883117,71.1402754120879,128.594821428571,4.24814285714286,0.0,0,165.532535714286,28.6234100985221,0,117.145485714286,129.797714285714
2022-02-01,30.9999761904762,156.942928571429,97.6430345438512,0,25.6185174133559,116.402941758242,14.8913702686203,142.383168609169,11.2389928571428,158.250571428571,184.610357142857,0,163.337675,129.061088235294,148.93,163.480807142857,106.167229591837,0,144.713714285715,0,0,153.172535714286,161.415333333333,173.046333333334,114.48803834261,0.0,121.202396103896,46.9250612244899,126.924839285714,6.01182142857142,0.0,0,163.910714285714,27.3713753633464,0,130.230735119048,133.227571428571
2022-03-01,31.1864112554112,155.801928571429,85.017778514541,0,40.7408741887312,136.591803571428,11.5277946359196,141.70173,13.4384928571429,157.150642857143,166.249642857143,0,154.246809686147,127.571126794258,144.543119047619,165.690535714286,102.417384065934,0,75.5897857142857,0,0,110.311732142857,160.997535714286,172.499545454545,72.0274539508111,0.0,121.875060744811,32.4812142857143,121.502733974359,3.93150892857143,119.295071428571,0,156.937669642857,27.1350541871922,0,130.787344537815,66.1325384615385
2022-04-01,20.6125731850117,156.156571428571,82.1464828571428,0,37.5761728852543,116.534982142857,11.2762554945055,134.535267857143,10.1532428571429,165.189714285714,166.985,0,156.030821428571,146.288212614871,143.890119047619,169.952595238095,76.5157357142859,0,107.0885,0,0,116.167857142857,160.485821428572,188.3525,60.10408747412,0.0,130.065676587302,39.0706825396825,144.9683,3.84835267857143,128.413071428571,0,159.313196428572,11.9016428571429,0,131.489516865079,57.0606428571429
2022-05-01,21.1912945054945,156.265,88.4834279100529,0,35.1280751077626,211.268142857143,10.6493504904187,154.433482731554,42.5804583333334,168.674714285714,168.103461538462,0,146.339510714286,157.526100636206,213.033571428571,170.403857142857,75.3366785714287,0,105.810892857143,0,0,125.719892857143,174.871142857143,180.680333333334,52.6158261738262,0.0,123.845147321429,72.4464285714285,145.44525,4.35496634615384,119.9585,0,159.784625,11.9707062770563,0,137.784307359307,59.928
2022-06-01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
